# GsakName=Tarn-et-Garonne
43.87027, 01.44900, 
43.87029, 01.44903, 
43.87175, 01.45030, 
43.87254, 01.45096, 
43.87388, 01.45205, 
43.87498, 01.45298, 
43.87595, 01.45366, 
43.87617, 01.45379, 
43.87746, 01.45451, 
43.87772, 01.45467, 
43.87947, 01.45588, 
43.87968, 01.45605, 
43.88060, 01.45688, 
43.88085, 01.45706, 
43.88187, 01.45766, 
43.88282, 01.45778, 
43.88368, 01.45784, 
43.88578, 01.45820, 
43.88586, 01.45821, 
43.88588, 01.45819, 
43.88604, 01.45800, 
43.88674, 01.45698, 
43.88676, 01.45698, 
43.88678, 01.45699, 
43.88705, 01.45735, 
43.88709, 01.45729, 
43.88711, 01.45728, 
43.88713, 01.45728, 
43.88744, 01.45761, 
43.88814, 01.45839, 
43.88878, 01.45909, 
43.88881, 01.45913, 
43.88865, 01.45927, 
43.88853, 01.45940, 
43.88840, 01.45958, 
43.88827, 01.45978, 
43.88780, 01.46056, 
43.88769, 01.46078, 
43.88766, 01.46085, 
43.88980, 01.46251, 
43.89072, 01.46317, 
43.89084, 01.46327, 
43.89250, 01.46492, 
43.89354, 01.46585, 
43.89380, 01.46610, 
43.89512, 01.46751, 
43.89588, 01.46835, 
43.89610, 01.46862, 
43.89658, 01.46923, 
43.89667, 01.46933, 
43.89679, 01.46938, 
43.89690, 01.46946, 
43.89735, 01.46987, 
43.89738, 01.46991, 
43.89738, 01.46991, 
43.89730, 01.47004, 
43.89729, 01.47008, 
43.89730, 01.47014, 
43.89745, 01.47058, 
43.89748, 01.47062, 
43.89963, 01.47233, 
43.89994, 01.47256, 
43.90016, 01.47275, 
43.90104, 01.47358, 
43.90126, 01.47380, 
43.90207, 01.47472, 
43.90211, 01.47476, 
43.90287, 01.47509, 
43.90342, 01.47535, 
43.90400, 01.47549, 
43.90403, 01.47549, 
43.90409, 01.47545, 
43.90424, 01.47530, 
43.90487, 01.47471, 
43.90489, 01.47470, 
43.90492, 01.47471, 
43.90514, 01.47487, 
43.90560, 01.47519, 
43.90583, 01.47528, 
43.90603, 01.47531, 
43.90653, 01.47529, 
43.90657, 01.47533, 
43.90687, 01.47554, 
43.90714, 01.47577, 
43.90747, 01.47608, 
43.90825, 01.47692, 
43.90834, 01.47702, 
43.90834, 01.47702, 
43.90812, 01.47735, 
43.90782, 01.47787, 
43.90771, 01.47799, 
43.90734, 01.47827, 
43.90701, 01.47849, 
43.90691, 01.47857, 
43.90677, 01.47879, 
43.90663, 01.47895, 
43.90634, 01.47920, 
43.90618, 01.47936, 
43.90559, 01.48001, 
43.90553, 01.48006, 
43.90532, 01.48016, 
43.90518, 01.48024, 
43.90512, 01.48031, 
43.90506, 01.48044, 
43.90485, 01.48105, 
43.90480, 01.48127, 
43.90464, 01.48177, 
43.90462, 01.48191, 
43.90462, 01.48193, 
43.90463, 01.48195, 
43.90472, 01.48200, 
43.90472, 01.48206, 
43.90434, 01.48426, 
43.90431, 01.48429, 
43.90410, 01.48488, 
43.90388, 01.48560, 
43.90384, 01.48576, 
43.90377, 01.48619, 
43.90374, 01.48624, 
43.90231, 01.48807, 
43.90228, 01.48809, 
43.90226, 01.48802, 
43.90218, 01.48777, 
43.90217, 01.48776, 
43.90215, 01.48776, 
43.90190, 01.48793, 
43.90141, 01.48820, 
43.90102, 01.48844, 
43.90083, 01.48860, 
43.90054, 01.48888, 
43.90051, 01.48890, 
43.90027, 01.48892, 
43.90021, 01.48894, 
43.89980, 01.48911, 
43.89967, 01.48918, 
43.89931, 01.48930, 
43.89891, 01.48950, 
43.89888, 01.48950, 
43.89875, 01.48946, 
43.89860, 01.48946, 
43.89851, 01.48944, 
43.89840, 01.48944, 
43.89827, 01.48944, 
43.89812, 01.48948, 
