# GsakName=Mayenne
48.38217, -0.05492, 
48.38172, -0.05697, 
48.38187, -0.05762, 
48.38089, -0.05968, 
48.37961, -0.05950, 
48.37776, -0.05959, 
48.37710, -0.06008, 
48.37654, -0.06121, 
48.37608, -0.06201, 
48.37573, -0.06315, 
48.37596, -0.06484, 
48.37650, -0.06624, 
48.37806, -0.06757, 
48.37881, -0.06776, 
48.37980, -0.06884, 
48.37978, -0.06997, 
48.37917, -0.07089, 
48.37627, -0.07227, 
48.37341, -0.07320, 
48.37175, -0.07462, 
48.36887, -0.07793, 
48.36916, -0.07861, 
48.36947, -0.08149, 
48.36968, -0.08199, 
48.36950, -0.08378, 
48.37040, -0.08462, 
48.37076, -0.08384, 
48.37128, -0.08393, 
48.37183, -0.08521, 
48.37206, -0.08671, 
48.37399, -0.08842, 
48.37436, -0.08960, 
48.37499, -0.09018, 
48.37520, -0.09196, 
48.37399, -0.09437, 
48.37327, -0.09650, 
48.37405, -0.09999, 
48.37408, -0.10069, 
48.37455, -0.10236, 
48.37433, -0.10412, 
48.37409, -0.10774, 
48.37442, -0.10931, 
48.37419, -0.11152, 
48.37429, -0.11220, 
48.37429, -0.11220, 
48.37380, -0.11223, 
48.37207, -0.11373, 
48.37164, -0.11498, 
48.37080, -0.11474, 
48.36780, -0.11752, 
48.36721, -0.11895, 
48.36690, -0.12200, 
48.36597, -0.12409, 
48.36560, -0.12580, 
48.36524, -0.13098, 
48.36491, -0.13109, 
48.36450, -0.13468, 
48.36448, -0.13623, 
48.36473, -0.13652, 
48.36168, -0.13761, 
48.36127, -0.13805, 
48.36068, -0.13774, 
48.35961, -0.13692, 
48.35936, -0.13706, 
48.35898, -0.13655, 
48.35843, -0.13708, 
48.35734, -0.13711, 
48.35666, -0.13813, 
48.35325, -0.13561, 
48.35104, -0.13520, 
48.35043, -0.13433, 
48.34818, -0.13391, 
48.34635, -0.13286, 
48.34489, -0.13239, 
48.34346, -0.13223, 
48.34269, -0.13132, 
48.34151, -0.12876, 
48.34082, -0.12759, 
48.34020, -0.12552, 
48.34026, -0.12197, 
48.33832, -0.12221, 
48.33967, -0.12809, 
48.34068, -0.13107, 
48.34144, -0.13599, 
48.34143, -0.13738, 
48.34278, -0.14403, 
48.34430, -0.14825, 
48.34430, -0.14825, 
48.34348, -0.14855, 
48.34299, -0.14996, 
48.34320, -0.15120, 
48.34346, -0.15226, 
48.34168, -0.15535, 
48.34149, -0.15612, 
48.34101, -0.15724, 
48.33960, -0.15727, 
48.33813, -0.15515, 
48.33669, -0.15462, 
48.33615, -0.15466, 
48.33492, -0.15414, 
48.33465, -0.15559, 
48.33504, -0.15691, 
48.33484, -0.15800, 
48.33436, -0.15818, 
48.33436, -0.15818, 
48.33412, -0.15782, 
48.33366, -0.15787, 
48.33271, -0.15750, 
48.33241, -0.15720, 
48.33102, -0.15720, 
48.33021, -0.15756, 
48.32983, -0.15750, 
48.32736, -0.15839, 
48.32698, -0.15830, 
48.32650, -0.15801, 
48.32595, -0.15799, 
48.32522, -0.15764, 
48.32381, -0.15740, 
48.32292, -0.15755, 
48.32172, -0.15801, 
48.32038, -0.15751, 
48.32026, -0.15686, 
48.31953, -0.15711, 
48.31829, -0.15638, 
48.31805, -0.15655, 
48.31740, -0.15625, 
48.31717, -0.15575, 
48.31442, -0.15359, 
48.31430, -0.15429, 
48.31407, -0.15422, 
48.31407, -0.15422, 
48.31405, -0.15068, 
48.31388, -0.14822, 
48.31353, -0.14718, 
48.31310, -0.14740, 
48.31252, -0.14713, 
48.31181, -0.14614, 
48.31158, -0.14496, 
48.31059, -0.14418, 
48.30913, -0.14207, 
48.30801, -0.14247, 
48.30724, -0.14241, 
48.30683, -0.14225, 
48.30635, -0.14251, 
48.30544, -0.14198, 
48.30517, -0.14109, 
48.30465, -0.13987, 
48.30383, -0.13983, 
48.30292, -0.14020, 
48.30134, -0.13957, 
48.30079, -0.13961, 
48.29965, -0.14043, 
48.29889, -0.14013, 
48.29817, -0.13897, 
48.29659, -0.13797, 
48.29545, -0.13847, 
48.29419, -0.13853, 
48.29302, -0.13835, 
48.29271, -0.14050, 
48.29315, -0.14125, 
48.29329, -0.14238, 
48.29217, -0.14366, 
48.29136, -0.14357, 
