43.80802, -79.13872, 
43.80799, -79.13864, 
43.80799, -79.13855, 
43.80799, -79.13847, 
43.80799, -79.13840, 
43.80799, -79.13833, 
43.80794, -79.13827, 
43.80787, -79.13825, 
43.80779, -79.13822, 
43.80777, -79.13821, 
43.80772, -79.13821, 
43.80763, -79.13818, 
43.80756, -79.13817, 
43.80750, -79.13814, 
43.80747, -79.13809, 
43.80746, -79.13801, 
43.80749, -79.13795, 
43.80752, -79.13788, 
43.80754, -79.13782, 
43.80756, -79.13779, 
43.80785, -79.13744, 
43.80785, -79.13737, 
43.80784, -79.13726, 
43.80782, -79.13718, 
43.80780, -79.13709, 
43.80777, -79.13699, 
43.80777, -79.13693, 
43.80776, -79.13685, 
43.80776, -79.13677, 
43.80816, -79.13601, 
43.80813, -79.13595, 
43.80809, -79.13588, 
43.80808, -79.13581, 
43.80784, -79.13545, 
43.80781, -79.13540, 
43.80777, -79.13535, 
43.80770, -79.13528, 
43.80764, -79.13524, 
43.80760, -79.13519, 
43.80754, -79.13511, 
43.80752, -79.13508, 
43.80747, -79.13500, 
43.80742, -79.13491, 
43.80738, -79.13484, 
43.80734, -79.13475, 
43.80731, -79.13471, 
43.80726, -79.13465, 
43.80719, -79.13453, 
43.80714, -79.13445, 
43.80709, -79.13437, 
43.80706, -79.13433, 
43.80702, -79.13429, 
43.80698, -79.13421, 
43.80697, -79.13416, 
43.80695, -79.13405, 
43.80692, -79.13395, 
43.80689, -79.13388, 
43.80688, -79.13387, 
43.80677, -79.13387, 
43.80670, -79.13387, 
43.80663, -79.13386, 
43.80658, -79.13385, 
43.80651, -79.13382, 
43.80645, -79.13381, 
43.80641, -79.13380, 
43.80633, -79.13378, 
43.80629, -79.13378, 
43.80621, -79.13378, 
43.80614, -79.13378, 
43.80609, -79.13379, 
43.80603, -79.13380, 
43.80597, -79.13382, 
43.80592, -79.13382, 
43.80585, -79.13383, 
43.80579, -79.13385, 
43.80574, -79.13389, 
43.80569, -79.13394, 
43.80564, -79.13399, 
43.80560, -79.13403, 
43.80556, -79.13408, 
43.80553, -79.13412, 
43.80541, -79.13418, 
43.80534, -79.13422, 
43.80527, -79.13424, 
43.80521, -79.13427, 
43.80516, -79.13427, 
43.80509, -79.13429, 
43.80500, -79.13430, 
43.80497, -79.13431, 
43.80489, -79.13432, 
43.80482, -79.13433, 
43.80475, -79.13434, 
43.80467, -79.13434, 
43.80460, -79.13432, 
43.80454, -79.13431, 
43.80449, -79.13430, 
43.80436, -79.13427, 
43.80429, -79.13425, 
43.80424, -79.13425, 
43.80422, -79.13425, 
43.80366, -79.13395, 
43.80359, -79.13390, 
43.80354, -79.13387, 
43.80347, -79.13384, 
43.80341, -79.13380, 
43.80333, -79.13373, 
43.80327, -79.13369, 
43.80318, -79.13362, 
43.80312, -79.13356, 
43.80307, -79.13353, 
43.80305, -79.13352, 
43.80288, -79.13367, 
43.80281, -79.13370, 
43.80275, -79.13374, 
43.80271, -79.13379, 
43.80265, -79.13385, 
43.80259, -79.13389, 
43.80255, -79.13394, 
43.80250, -79.13398, 
43.80246, -79.13401, 
43.80240, -79.13407, 
43.80231, -79.13413, 
43.80226, -79.13419, 
43.80222, -79.13425, 
43.80218, -79.13430, 
43.80214, -79.13432, 
43.80148, -79.13500, 
43.80145, -79.13504, 
43.80142, -79.13511, 
43.80136, -79.13520, 
43.80132, -79.13523, 
43.80125, -79.13530, 
43.80119, -79.13535, 
43.80115, -79.13537, 
43.80108, -79.13541, 
43.80104, -79.13542, 
43.80100, -79.13542, 
43.80093, -79.13541, 
43.80087, -79.13537, 
43.80081, -79.13534, 
43.80075, -79.13529, 
43.80071, -79.13523, 
43.80069, -79.13514, 
43.80068, -79.13506, 
43.80067, -79.13497, 
43.80068, -79.13486, 
43.80068, -79.13483, 
43.80070, -79.13474, 
43.80073, -79.13468, 
43.80077, -79.13459, 
43.80080, -79.13450, 
43.80084, -79.13439, 
43.80087, -79.13431, 
43.80089, -79.13423, 
43.80094, -79.13413, 
43.80098, -79.13403, 
43.80102, -79.13395, 
43.80106, -79.13386, 
43.80109, -79.13379, 
43.80113, -79.13369, 
43.80116, -79.13362, 
43.80118, -79.13354, 
43.80121, -79.13345, 
43.80123, -79.13338, 
43.80126, -79.13332, 
43.80129, -79.13322, 
43.80131, -79.13313, 
43.80132, -79.13308, 
43.80136, -79.13296, 
43.80139, -79.13291, 
43.80141, -79.13281, 
43.80145, -79.13272, 
43.80148, -79.13265, 
43.80150, -79.13260, 
43.80156, -79.13252, 
43.80161, -79.13245, 
43.80164, -79.13238, 
43.80169, -79.13226, 
43.80171, -79.13221, 
43.80173, -79.13211, 
43.80175, -79.13201, 
43.80178, -79.13194, 
43.80181, -79.13186, 
43.80184, -79.13177, 
43.80186, -79.13169, 
43.80188, -79.13161, 
43.80188, -79.13152, 
43.80188, -79.13149, 
43.80189, -79.13128, 
43.80181, -79.13079, 
43.80175, -79.13069, 
43.80172, -79.13063, 
43.80170, -79.13058, 
43.80167, -79.13052, 
43.80161, -79.13038, 
43.80159, -79.13030, 
43.80156, -79.13025, 
43.80154, -79.13021, 
43.80151, -79.13010, 
43.80147, -79.12998, 
43.80144, -79.12991, 
43.80143, -79.12988, 
43.80138, -79.12975, 
43.80136, -79.12966, 
43.80135, -79.12962, 
43.80130, -79.12947, 
43.80127, -79.12938, 
43.80121, -79.12928, 
43.80117, -79.12921, 
43.80113, -79.12916, 
43.80108, -79.12909, 
43.80106, -79.12906, 
43.80098, -79.12893, 
43.80095, -79.12885, 
