# GsakName=Ionian Islands
# County & State polygons (c) OpenStreetMap (and) contributors, CC-BY-SA

38.847529,20.724764
38.845657,20.723648
38.845992,20.719614
38.842783,20.717468
38.819114,20.723133
38.808146,20.727081
38.800520,20.727596
38.768941,20.731716
38.669964,20.897369
38.661386,20.968781
38.599164,20.984573
38.531516,21.001740
38.498743,21.020966
38.490682,21.052551
38.434766,21.101990
38.393339,21.118469
38.389033,21.084824
38.332500,21.066284
38.328191,21.120529
38.285625,21.132889
38.265680,21.082764
37.926868,20.989380
37.667516,21.053925
37.617495,20.797119
37.763116,20.488129
38.967951,19.083252
39.951859,19.215088
39.930801,19.613342
39.852829,19.896240
39.813811,19.971771
39.778464,19.982071
39.700847,19.941559
39.504041,20.091934
39.073578,20.485382
38.950865,20.673523
38.847529,20.724764

