# GsakName=Crete
# County & State polygons (c) OpenStreetMap (and) contributors, CC-BY-SA

35.853440,24.158936
35.719758,25.477295
35.496456,26.477051
35.182788,26.652832
34.723555,26.389160
34.551811,24.345703
35.083956,22.763672
35.505400,22.785645
35.764343,23.378906
35.853440,24.158936

