# GsakName=Garff
# This County polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.

54.243091,-4.473120
54.243043,-4.473209
54.242969,-4.473348
54.242890,-4.473483
54.242816,-4.473507
54.242720,-4.473605
54.242506,-4.473774
54.242270,-4.473929
54.242202,-4.473944
54.242138,-4.473924
54.242082,-4.473833
54.242017,-4.473727
54.241939,-4.473577
54.241897,-4.473392
54.241851,-4.473254
54.241781,-4.473140
54.241641,-4.473056
54.241575,-4.472960
54.241539,-4.472915
54.241472,-4.472903
54.241371,-4.472859
54.241282,-4.472847
54.241114,-4.472879
54.240483,-4.472769
54.240399,-4.472740
54.240071,-4.472558
54.239879,-4.472483
54.239629,-4.472399
54.239412,-4.472331
54.239320,-4.472290
54.239232,-4.472195
54.239154,-4.472162
54.238931,-4.472076
54.238714,-4.472022
54.238474,-4.472020
54.238209,-4.471941
54.237981,-4.471825
54.237806,-4.471673
54.237706,-4.471600
54.237539,-4.471572
54.237348,-4.471483
54.237191,-4.471381
54.237107,-4.471198
54.237013,-4.471078
54.236784,-4.470892
54.236471,-4.470780
54.236353,-4.470666
54.236208,-4.470424
54.236122,-4.470177
54.236049,-4.469939
54.235902,-4.469997
54.235719,-4.470021
54.235505,-4.470087
54.235401,-4.470100
54.235308,-4.470092
54.235200,-4.470079
54.235117,-4.470108
54.235010,-4.470163
54.234936,-4.470237
54.234869,-4.470313
54.234785,-4.470340
54.234697,-4.470327
54.234612,-4.470253
54.234491,-4.470107
54.234341,-4.469937
54.234140,-4.469597
54.234026,-4.469475
54.233934,-4.469429
54.233801,-4.469450
54.233710,-4.469493
54.233615,-4.469546
54.233507,-4.469577
54.233396,-4.469560
54.233185,-4.469492
54.233070,-4.469497
54.232949,-4.469451
54.232835,-4.469468
54.232680,-4.469530
54.232342,-4.469631
54.232228,-4.469645
54.232057,-4.469594
54.231819,-4.469538
54.231643,-4.469563
54.231478,-4.469606
54.231275,-4.469713
54.231102,-4.469841
54.230965,-4.469930
54.230774,-4.469922
54.230739,-4.470309
54.226004,-4.467566
54.220937,-4.467010
54.216960,-4.463342
54.215795,-4.451192
54.215239,-4.449068
54.215148,-4.448288
54.215061,-4.447529
54.214027,-4.444064
54.212848,-4.442088
54.212700,-4.441765
54.212042,-4.440418
54.212018,-4.440274
54.206375,-4.438621
54.206335,-4.438471
54.206318,-4.438271
54.206328,-4.438105
54.206342,-4.437942
54.206363,-4.437813
54.206398,-4.437646
54.206426,-4.437398
54.206464,-4.437232
54.206501,-4.436794
54.206526,-4.436461
54.206543,-4.436205
54.206536,-4.436078
54.206517,-4.435988
54.206479,-4.436005
54.206328,-4.436077
54.206167,-4.436123
54.205994,-4.436134
54.205696,-4.436089
54.205619,-4.436042
54.205495,-4.435968
54.205165,-4.435760
54.204976,-4.435722
54.204588,-4.435822
54.204415,-4.435871
54.204267,-4.435997
54.204090,-4.436018
54.203932,-4.436134
54.203751,-4.436147
54.203584,-4.436054
54.203398,-4.436058
54.203221,-4.435965
54.203082,-4.435929
54.202968,-4.435901
54.202777,-4.435871
54.202358,-4.435749
54.202187,-4.435560
54.202071,-4.435382
54.202016,-4.435216
54.202078,-4.435090
54.202025,-4.434919
54.201971,-4.434804
54.201917,-4.434756
54.201856,-4.434600
54.201786,-4.434432
54.201756,-4.434244
54.201666,-4.434080
54.201616,-4.433944
54.201554,-4.433839
54.201549,-4.433665
54.201468,-4.433572
54.201401,-4.433409
54.201362,-4.433184
54.201243,-4.433058
54.201265,-4.432701
54.201064,-4.432466
54.201042,-4.432036
54.200935,-4.431690
54.200397,-4.431490
54.199874,-4.431201
54.199676,-4.430849
54.199376,-4.430883
54.199138,-4.430835
54.198657,-4.430419
54.198464,-4.430163
54.198325,-4.429934
54.198284,-4.429856
54.198171,-4.429797
54.198052,-4.429818
54.197766,-4.429476
54.197686,-4.429549
54.197619,-4.429527
54.197280,-4.429359
54.196759,-4.429080
54.195942,-4.428646
54.195856,-4.428742
54.195747,-4.428526
54.195616,-4.428401
54.194995,-4.427752
54.194757,-4.427485
54.194510,-4.427222
54.194238,-4.426946
54.193921,-4.426605
54.193862,-4.426662
54.193815,-4.426641
54.193764,-4.426602
54.193661,-4.426716
54.193614,-4.426824
54.193427,-4.426702
54.193326,-4.426638
54.193267,-4.426696
54.193204,-4.426835
54.193054,-4.426802
54.192911,-4.426766
54.192864,-4.426932
54.192733,-4.426954
54.192639,-4.427104
54.192079,-4.426964
54.191555,-4.427378
54.191559,-4.427608
54.191034,-4.428112
54.190568,-4.428440
54.189974,-4.428181
54.189180,-4.428011
54.188883,-4.428063
54.188703,-4.428125
54.188456,-4.428200
54.188414,-4.427945
