# GsakName=Poland
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 55.0336963,49.0020305,24.1458511,14.1229707
49.935185,18.3834126
49.9352384,18.3835769
49.9351712,18.3868171
49.9347532,18.3890803
49.9342166,18.3904922
49.9340262,18.3916353
49.9345153,18.3953173
49.9342479,18.3977004
49.9343992,18.3984914
49.9356098,18.4005139
49.9356745,18.4013721
49.9354408,18.4027164
49.93585,18.4029426
49.9359174,18.4031854
49.9373638,18.4178693
49.9385911,18.421436
49.9381508,18.4307384
49.9281787,18.4328772
49.9285767,18.4358666
49.928471,18.4369144
49.9281652,18.4379323
49.9268502,18.4399754
49.9236363,18.4439413
49.9230154,18.445475
49.9228753,18.4472258
49.9234775,18.449691
49.9235807,18.4509353
49.9233524,18.4523901
49.9225523,18.4546175
49.9224748,18.4558571
49.9225807,18.4573602
49.9226103,18.4577799
49.922791,18.4608885
49.9224753,18.4628994
49.9219706,18.4639147
49.9214241,18.4644883
49.917043,18.4660273
49.9164295,18.4665582
49.9155053,18.4681584
49.912762,18.4758606
49.912196,18.477079
49.9117032,18.4777402
49.911583,18.4784727
49.9113067,18.4791477
49.9111152,18.4797822
49.9109598,18.4814368
49.9111141,18.4819461
49.9107655,18.4819014
49.9106524,18.4822089
49.9108833,18.4827961
49.9108436,18.4830787
49.9100236,18.4837703
49.9095207,18.4846138
49.9093227,18.4846392
49.909098,18.4843553
49.908641,18.48438
49.9081434,18.4837164
49.9079549,18.4837056
49.9077296,18.4842043
49.9078868,18.4855565
49.9072664,18.4857729
49.9069245,18.4851131
49.906631,18.4850451
49.9063711,18.4851769
49.9060236,18.4864505
49.9059987,18.4870117
49.9060183,18.4877275
49.9053582,18.4880036
49.9055629,18.4889056
49.905161,18.4906419
49.9041107,18.4903503
49.9038819,18.4907881
49.9033589,18.4910121
49.9033939,18.4917077
49.9038403,18.4919019
49.9041086,18.491718
49.9044916,18.4919604
49.9046108,18.493349
49.9052422,18.493782
49.9049046,18.4950032
49.9049872,18.4952259
49.9055445,18.4950705
49.9058178,18.4943644
49.9061597,18.4941017
49.9063989,18.4946945
49.9063018,18.4956989
49.9055044,18.4955533
49.9055374,18.496344
49.9052369,18.4971593
49.9048204,18.4965127
49.9045246,18.4968861
49.9039474,18.4970222
49.9036951,18.4978568
49.9032343,18.4979233
49.9030429,18.4982213
49.9036453,18.4991285
49.9046359,18.4990086
49.9049443,18.4997493
49.9046869,18.5007086
49.9036341,18.5007234
49.9032709,18.5012684
49.90348,18.5024241
49.9039587,18.502957
49.9036461,18.5036789
49.90352,18.5046687
49.9031924,18.5048456
49.9030236,18.5045537
49.902958,18.503636
49.9025786,18.5035935
49.9023915,18.504591
49.9018762,18.5055322
49.9019358,18.5058596
49.9021373,18.5057732
49.90249,18.5050569
49.902948,18.5051686
49.9030792,18.505418
49.9030202,18.5057683
49.9023722,18.5060612
49.9022729,18.5063563
49.9023386,18.5067899
49.9027228,18.5068641
49.9028915,18.5080387
49.902733,18.5081637
49.9022215,18.5077655
49.9021317,18.5079712
49.9021785,18.5082738
49.902402,18.508412
49.9024389,18.5087976
49.9022204,18.5096315
49.9026372,18.5105647
49.902838,18.5114842
49.9024176,18.5122523
49.9023442,18.5122063
49.9023029,18.5128871
49.9025704,18.5132272
49.9025389,18.513863
49.9028195,18.5139987
49.9029816,18.5145824
49.902851,18.5149891
49.9021532,18.5151311
49.9019581,18.5153687
49.9019796,18.5158651
49.9022063,18.5161949
49.9023823,18.5169913
49.9020433,18.5176236
49.9019962,18.518394
49.9023732,18.5192506
49.9015924,18.5207154
49.9009613,18.5205485
49.9007818,18.5207236
49.9009137,18.5211181
49.9014181,18.5210843
49.9016122,18.5212851
49.9012588,18.5223555
49.900562,18.5220815
49.9004596,18.5216247
49.9002283,18.5214514
49.9000304,18.5217436
49.9000499,18.5220202
49.9003677,18.5231846
49.899626,18.5234218
49.8994681,18.5237418
49.8998613,18.5245987
49.9003272,18.5243406
49.9006468,18.5245919
49.9006675,18.5253107
49.9010913,18.5265199
49.9007791,18.5268602
49.9007126,18.5279322
49.9003304,18.5275142
49.8998447,18.5278551
49.89956,18.5283263
49.8996575,18.5286901
49.9001535,18.528188
49.9006447,18.5283527
49.9010869,18.5291841
49.9009566,18.5295079
49.9006985,18.5292441
49.8999262,18.5293831
49.8996684,18.5299581
49.8996839,18.5307343
49.8994642,18.5313196
49.8995271,18.5320012
49.9000057,18.5318442
49.9002515,18.5326759
49.9001579,18.5334014
49.8996704,18.5338925
49.8996087,18.5339167
49.8996018,18.5343963
49.9003376,18.5350006
49.9016248,18.5347805
49.9019248,18.5349936
49.9019868,18.5350457
49.9023864,18.5372251
49.9023737,18.5379483
49.9025991,18.5385107
49.9044963,18.5395816
49.9046685,18.5411239
49.9050457,18.5421093
49.9054951,18.5424547
49.9061366,18.5429479
49.9062975,18.5435978
49.9073882,18.5447717
49.9077744,18.5455885
49.908437,18.5461745
49.9091502,18.5470752
49.9099993,18.5453608
49.9105654,18.5427744
49.9112281,18.5409858
49.912053,18.5398748
49.9124634,18.5401298
49.9131235,18.5399897
49.9140207,18.5402385
49.9145197,18.5397837
49.9148423,18.5397426
49.9158316,18.540706
49.9166601,18.5410194
49.9168977,18.5407376
49.9184219,18.5412418
49.9189614,18.5405303
49.9197692,18.5404552
49.9201944,18.5409877
49.9208437,18.541324
49.9218059,18.5427941
49.9224299,18.5429939
49.9239602,18.5408986
49.9257022,18.5393909
49.9257446,18.5395843
49.9258689,18.5401521
49.9262043,18.5410315
49.9263694,18.5421003
49.926273,18.5433422
49.9258973,18.5447594
49.9243871,18.547914
49.9229684,18.5504141
49.9220616,18.5510046
49.9207422,18.5523182
49.9202262,18.5534736
49.9193671,18.5563212
49.9179793,18.5590683
49.9178848,18.559667
49.917978,18.5607448
49.9185583,18.5631857
49.9200032,18.567305
49.9207174,18.5685275
49.9213793,18.5714891
49.9216225,18.5716538
49.9216386,18.5728113
49.9210846,18.5737618
49.9198687,18.5743072
49.918651,18.5751602
49.917745,18.5747443
49.9163249,18.5748406
49.914859,18.5744119
49.9146649,18.5744924
49.9144569,18.5749937
49.9139237,18.5751452
49.9135197,18.5760345
49.9132732,18.5761496
49.9127369,18.5748767
49.9124696,18.5737354
49.9119631,18.57355
49.911533,18.5736046
49.9109323,18.5741837
49.9104098,18.5756746
49.9087819,18.5744564
49.9077866,18.5737167
49.9075069,18.575931
49.9069451,18.5779296
49.9065867,18.5779751
49.9055424,18.5800627
49.9035288,18.577804
49.9001111,18.5776507
49.8995874,18.5772981
49.8984673,18.5759041
49.8980075,18.5757389
49.897081,18.5749348
49.8953775,18.5730842
49.8927078,18.5713842
49.8923373,18.5715429
49.8916705,18.5708735
49.8914551,18.571236
49.8912089,18.5710159
49.8904645,18.571948
49.8895147,18.5737718
49.8879128,18.5735003
49.8871293,18.5730132
49.8859825,18.5714555
49.8851866,18.5697136
49.8846247,18.5703433
49.8842815,18.569996
49.88455,18.5685938
49.8830784,18.5660165
49.8806613,18.5656812
49.8780265,18.5683886
49.8759498,18.5714157
49.8750377,18.5697951
49.8734519,18.5695552
49.8738887,18.5703093
49.873597,18.5709325
49.8721687,18.5719287
49.8727409,18.5731625
49.872282,18.5736952
49.8716666,18.5739965
49.8712494,18.5746356
49.8711166,18.5745128
49.8702731,18.5759595
49.8703618,18.5769532
49.8697889,18.5780585
49.8694215,18.578105
49.869476,18.5789634
49.8693499,18.5796492
49.8691959,18.5798083
49.8689625,18.5794889
49.8667903,18.5802944
49.866645,18.5826806
49.8666229,18.584306
49.8672619,18.5895776
49.8676235,18.5903343
49.867075,18.5913453
49.8666869,18.5943317
49.8659314,18.5968686
49.8662832,18.5988595
49.8661543,18.5999768
49.8649836,18.6022238
49.8616158,18.6057168
49.859028,18.6045362
49.8582029,18.6039426
49.8570951,18.6038033
49.8564761,18.6006166
49.8560008,18.5957097
49.8559082,18.592931
49.8560303,18.5918274
49.8548571,18.5914733
49.8540278,18.5890948
49.8528648,18.5889349
49.8528161,18.5883551
49.8531449,18.5880903
49.8532184,18.5877741
49.853058,18.5854226
49.8522974,18.5837303
49.8508015,18.5857359
49.8502842,18.5848248
49.8487644,18.5861051
49.8468415,18.5886359
49.8463373,18.5896761
49.8458961,18.5896786
49.8434858,18.5862425
49.8414141,18.5839101
49.84089,18.5830419
49.8395478,18.5789856
49.8380906,18.5756554
49.8344243,18.5694534
49.8332207,18.5689584
49.8318782,18.5697482
49.8311734,18.569726
49.8306718,18.5695106
49.8308333,18.5693178
49.8293942,18.5688359
49.8273551,18.5698473
49.8266333,18.5705244
49.8260787,18.5712919
49.8251729,18.5739443
49.8242918,18.5757012
49.8231084,18.5765203
49.8211192,18.5767721
49.8208054,18.5769791
49.8203853,18.5775621
49.8184983,18.5817881
49.8176661,18.5825512
49.8173402,18.5827432
49.81369,18.58195
49.811635,18.5823214
49.8107451,18.5822109
49.8093605,18.5826368
49.8060094,18.5844264
49.8047481,18.5854778
49.8036415,18.58775
49.8032393,18.5890133
49.8031359,18.5908103
49.8029275,18.5916449
49.8025475,18.5923061
49.8019466,18.5928836
49.8004171,18.5932996
49.7986721,18.5927115
49.7980257,18.592598
49.7973759,18.5927636
49.7958011,18.5950525
49.7938642,18.5966345
49.7917362,18.5980082
49.7903731,18.5992067
49.7899262,18.5996111
49.7890239,18.5999478
49.7884149,18.5996901
49.7870445,18.5979959
49.7862494,18.5972881
49.7853881,18.5970344
49.784371,18.5972462
49.7838359,18.5977038
49.7813674,18.6018598
49.7804544,18.6029637
49.7800367,18.6033089
49.7771462,18.6042579
49.7755274,18.6043503
49.7749268,18.6045931
49.7707268,18.6104699
49.7700666,18.6106086
49.7685035,18.6103874
49.766753,18.6107189
49.7640839,18.6124471
49.7618924,18.6143378
49.7610366,18.6145289
49.7602648,18.6143355
49.7596007,18.6139853
49.7577454,18.6133551
49.7557671,18.6131303
49.7549844,18.6133401
49.7533324,18.6148563
49.7524532,18.6169994
49.7514833,18.6222166
49.7504912,18.6255234
49.7498887,18.6265374
49.7469284,18.6292472
49.7454825,18.6295397
49.7429554,18.6288264
49.7405455,18.6286273
49.7376729,18.6271779
49.7360735,18.6272948
49.7350471,18.627674
49.7337121,18.6276743
49.7320046,18.6271089
49.7308139,18.6264232
49.7299197,18.6262291
49.7290085,18.626399
49.7274189,18.6280732
49.7268527,18.6282833
49.7263727,18.6287608
49.7259605,18.6288125
49.7255293,18.6285047
49.7238032,18.6259167
49.7230697,18.6253746
49.7223799,18.6252246
49.7222415,18.6260225
49.7223263,18.6271838
49.7222051,18.6284745
49.7217962,18.6295567
49.7205425,18.6290459
49.7202263,18.6298924
49.7196932,18.6302952
49.7194306,18.6314095
49.7188156,18.6316603
49.7185974,18.6321543
49.7184588,18.6330478
49.7179801,18.6338405
49.7173794,18.6338086
49.7171619,18.6364132
49.7148891,18.6362684
49.7142988,18.6389077
49.7135693,18.6401438
49.7136198,18.6406538
49.712901,18.641551
49.7122854,18.6416666
49.7123284,18.6443746
49.712057,18.6460778
49.7118099,18.6465259
49.7117948,18.6476128
49.7114964,18.6484569
49.7110134,18.6488788
49.710953,18.6521969
49.7076699,18.6526018
49.708415,18.6536819
49.7089684,18.6559775
49.7108266,18.6583887
49.7109176,18.6624162
49.7095472,18.6641931
49.7100555,18.6641227
49.7096521,18.6653239
49.7094763,18.6654694
49.7096507,18.6669365
49.7093639,18.6669722
49.7092139,18.6672437
49.7064009,18.6674826
49.7034491,18.6682939
49.7036369,18.67233
49.7046848,18.6751203
49.7055292,18.676434
49.7057162,18.6779407
49.7049183,18.6782067
49.703768,18.6807702
49.7044982,18.6825981
49.7059063,18.687458
49.7062035,18.6914266
49.706406,18.6929432
49.7064994,18.6936431
49.7061684,18.6980234
49.7051517,18.7024049
49.7049684,18.7037349
49.7046628,18.7048134
49.7044489,18.7065806
49.7044875,18.7095821
49.7022676,18.7076426
49.7013013,18.7098499
49.6996723,18.7114765
49.6967217,18.7092322
49.6954702,18.7091597
49.6953567,18.7100405
49.6956127,18.7111491
49.6963025,18.711926
49.6957956,18.7125865
49.6957355,18.713164
49.6961642,18.7137785
49.6960907,18.7146775
49.6953878,18.7151535
49.6950458,18.715168
49.6950157,18.7145877
49.6935645,18.7144331
49.6916767,18.7145549
49.689746,18.7173236
49.6879013,18.717579
49.6871076,18.7179271
49.6854801,18.7178498
49.6841543,18.7169847
49.6836991,18.7169018
49.6835117,18.7170687
