# GsakName=Hungary
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 48.585237,45.737128,22.8974573,16.1138867
47.4469521,16.6467065
47.4479961,16.6489597
47.4489453,16.6515984
47.4500862,16.650437
47.4502427,16.6504799
47.451303,16.6491252
47.4527558,16.6535765
47.4535869,16.6574277
47.4543147,16.6593495
47.4557137,16.6620322
47.4563481,16.6617423
47.4569154,16.661414
47.457163,16.6608909
47.4597238,16.6605401
47.460742,16.659728
47.4614157,16.6597478
47.4620309,16.6600361
47.4624974,16.660288
47.4627752,16.6617712
47.4631176,16.6612946
47.463803,16.6610336
47.4649641,16.6620015
47.4657614,16.6623986
47.4663413,16.6624327
47.4674047,16.6640063
47.471943,16.6674913
47.4731521,16.6697825
47.4742622,16.6704924
47.477206,16.6694335
47.4792858,16.6681686
47.4814753,16.6661269
47.4817026,16.6637333
47.4832994,16.6623034
47.4848359,16.6616779
47.485752,16.6615583
47.4888934,16.6593589
47.4901979,16.6581411
47.4916789,16.6570975
47.4968492,16.6539859
47.499478,16.652674
47.5003255,16.6523387
47.500918,16.6537083
47.5013814,16.6542324
47.5039728,16.6555513
47.5064683,16.6579355
47.5090272,16.6624731
47.5085529,16.6634154
47.5082122,16.6635994
47.506874,16.6654241
47.5065562,16.6653769
47.5063685,16.6655655
47.5064278,16.6658465
47.5037144,16.668761
47.5035445,16.6689584
47.5042957,16.6700505
47.504993,16.6719569
47.5066057,16.6762347
47.5066185,16.6778784
47.5071782,16.6800926
47.5080207,16.6820256
47.5090802,16.6851099
47.5091248,16.6866331
47.5104226,16.6898176
47.5110098,16.6905954
47.5123364,16.6913116
47.515358,16.6947739
47.5158979,16.6949638
47.5175204,16.6948459
47.5181823,16.6956012
47.5209676,16.7006935
47.5213044,16.7015479
47.521469,16.7025326
47.5229106,16.7054944
47.5231856,16.7056042
47.5243426,16.7052367
47.5262879,16.705299
47.5282935,16.704143
47.5307887,16.7042053
47.5332242,16.7031732
47.5360031,16.708249
47.5365903,16.7090516
47.5367513,16.7095848
47.5375266,16.7097268
47.5375878,16.7107894
47.5379629,16.7122917
47.5393791,16.7143733
47.5396456,16.7145072
47.5399337,16.7145237
47.5418018,16.7123281
47.5430878,16.7112461
47.5432495,16.7101889
47.5430366,16.7095003
47.5432379,16.7093119
47.5427,16.7078739
47.5423837,16.7058796
47.5444943,16.7045197
47.5457398,16.7041281
47.5455692,16.7026082
47.5463089,16.7010135
47.5456289,16.6981815
47.5474201,16.6967019
47.5477998,16.6963503
47.5497352,16.6946875
47.5516036,16.6939031
47.5524274,16.6932288
47.5533688,16.6916833
47.5541418,16.6913639
47.5555462,16.6900433
47.5565856,16.6905835
47.5577537,16.6907592
47.5579036,16.6909838
47.5594881,16.6889017
47.5606751,16.6863208
47.560751,16.6837237
47.5613058,16.6840091
47.5608929,16.6797938
47.5610663,16.6779126
47.5599649,16.6750524
47.559809,16.6743871
47.5595946,16.6732768
47.5596764,16.6725997
47.5601137,16.6711218
47.5604891,16.6704681
47.5619446,16.6696166
47.5626298,16.6686953
47.5637438,16.6687211
47.5645905,16.6681683
47.5648877,16.6670286
47.5661554,16.6646716
47.5672095,16.664331
47.5678494,16.6634407
47.5684406,16.6631193
47.56869,16.6631313
47.5693838,16.6641221
47.5693243,16.6663108
47.5696455,16.6676621
47.5701958,16.6683409
47.5713346,16.67108
47.5723594,16.6714298
47.5740071,16.6710894
47.5751716,16.6712691
47.5759784,16.6731059
47.5766428,16.6738397
47.5787886,16.6751269
47.5820764,16.6752573
47.5825322,16.675102
47.5852836,16.6736595
47.5869148,16.6724672
47.5898429,16.6707959
47.5927965,16.6695138
47.5933645,16.6688841
47.5956776,16.6672235
47.5962606,16.6664014
47.5973245,16.6666391
47.5978834,16.6664167
47.5979033,16.6666849
47.5984307,16.6669974
47.5996434,16.6685
47.6007716,16.6705497
47.6018104,16.6711894
47.6023374,16.6704548
47.6033943,16.6713766
47.6049581,16.6731434
47.6061275,16.6717138
47.6062474,16.6715421
47.6056916,16.6698614
47.6055471,16.6682242
47.6055343,16.6677393
47.6054324,16.6621738
47.6059242,16.6601494
47.6061018,16.6595343
47.6151969,16.6564295
47.6201648,16.6534246
47.6222312,16.652941
47.6226644,16.652451
47.6229095,16.6520457
47.623022,16.6508599
47.6246059,16.6461137
47.6259834,16.6413423
47.6267228,16.6377015
47.6274095,16.6363518
47.627849,16.6349836
47.6278951,16.6334188
47.6281794,16.6315853
47.6280554,16.6289983
47.6277812,16.6276719
47.6273737,16.6268646
47.6271127,16.6257515
47.6268325,16.625325
47.6265809,16.6238825
47.6263643,16.6227656
47.6257992,16.6189081
47.6225275,16.6133028
47.6212667,16.6063891
47.6210639,16.6042391
47.619671,16.6011282
47.6197397,16.5998633
47.6185671,16.5972031
47.61768,16.591868
47.6174652,16.5902553
47.6175323,16.5879956
47.6178603,16.5854158
47.6181145,16.5838746
47.6187003,16.5822785
47.6190459,16.579729
47.6191792,16.5769784
47.6195413,16.5743938
47.6198646,16.5733438
47.6198261,16.572515
47.6206886,16.5710011
47.6233218,16.5679367
47.6244544,16.5649192
47.624612,16.5632369
47.6248678,16.5622601
47.6270174,16.5601248
47.6276419,16.5583494
47.6291676,16.5561677
47.629862,16.5537111
47.630264,16.5530899
47.6321649,16.5516691
47.6323963,16.5513725
47.6328597,16.5501051
47.6335886,16.5488018
47.6346951,16.5451862
47.6355977,16.5434009
47.6358235,16.5421623
47.6363064,16.5411959
47.636697,16.5393942
47.6378257,16.5383012
47.637967,16.5377865
47.6380174,16.5361471
47.6382281,16.535486
47.6387627,16.5346888
47.6389109,16.5341457
47.6397705,16.5330503
47.6414974,16.5286981
47.6419745,16.5261849
47.6418442,16.5248891
47.6419091,16.523828
47.6412016,16.5231467
47.6416019,16.5227965
47.6421656,16.5227146
47.6422874,16.5223397
47.6426175,16.522128
47.6434208,16.5195276
47.6444879,16.5175364
47.6449472,16.516905
47.645144,16.516901
47.6456041,16.5154866
47.6461448,16.5144416
47.6460439,16.5133014
47.6447647,16.5137539
47.6443271,16.5136654
47.6426248,16.5120325
47.6417817,16.5107059
47.6410775,16.5087731
47.6400363,16.5074609
47.6385235,16.506737
47.6383877,16.5064854
47.6384395,16.5061199
47.6390544,16.5052116
47.6400661,16.5024481
47.6399494,16.5015802
47.6393588,16.5001677
47.6393961,16.4983804
47.6393496,16.497815
47.6393487,16.4969383
47.6394913,16.4965542
47.6396695,16.4962479
47.6403736,16.4958246
47.6408659,16.4944916
47.6417173,16.4937977
47.6422574,16.492636
47.6422502,16.4922273
47.6416358,16.4911919
47.6414081,16.4898004
47.6417648,16.4873199
47.6445512,16.4851248
47.6456611,16.4831783
47.6479336,16.4826359
47.6487097,16.4812345
47.6496527,16.4805511
47.6498788,16.4800082
47.6501077,16.4793136
47.6499875,16.4776283
47.6502801,16.476304
47.6502109,16.4750214
47.650844,16.4728437
47.6514491,16.47167
47.6515615,16.470386
47.6517225,16.4683644
47.6513022,16.4626637
47.6515781,16.4619336
47.6525767,16.4609752
47.6531784,16.4600212
47.6536661,16.4585395
47.6537826,16.457074
47.6535788,16.4557235
47.6536529,16.4549453
47.6557225,16.4514488
47.6558188,16.4509336
