# GsakName=Slovenia
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 46.8766816,45.4214242,16.6114561,13.3754696
46.5048285,13.711147
46.5047201,13.7108899
46.5043382,13.7100494
46.5041792,13.7096936
46.5016558,13.7040605
46.5015996,13.7039944
46.5013517,13.7036921
46.5006271,13.7034235
46.5006373,13.7032695
46.5004131,13.7032359
46.5003789,13.7036714
46.4996955,13.7030056
46.4987457,13.7024979
46.4984611,13.7031808
46.4979632,13.7035533
46.4979239,13.7038158
46.4975114,13.7037717
46.4973291,13.7037632
46.4972329,13.7037533
46.4967476,13.7035137
46.496763,13.7034112
46.4962267,13.7031931
46.4961597,13.7029891
46.4960784,13.7029849
46.495962,13.7029972
46.4959324,13.7029815
46.4956427,13.7031758
46.4950049,13.7049879
46.4942697,13.7048095
46.4938403,13.7052178
46.49336,13.7052631
46.4932021,13.7052353
46.4920014,13.7055319
46.491952,13.7047595
46.4916549,13.7044893
46.4913801,13.7043994
46.4910704,13.7043982
46.4908626,13.704127
46.4904335,13.7043582
46.4881659,13.7040004
46.4869014,13.7042084
46.486644,13.704126
46.4863361,13.7033748
46.4856814,13.7037883
46.485516,13.7037599
46.4852729,13.7030205
46.4847992,13.7031548
46.4844164,13.7034118
46.4835395,13.7059121
46.4839156,13.7060384
46.4830343,13.7071887
46.4827616,13.7079984
46.4823327,13.7082341
46.4818762,13.7090064
46.4817374,13.7093283
46.4817921,13.7101518
46.4805738,13.7095958
46.4782171,13.7072216
46.4763408,13.7032882
46.4754946,13.7021018
46.4747785,13.7017964
46.4746441,13.7012126
46.4742945,13.7008442
46.4738502,13.7006593
46.4729668,13.7000386
46.4727221,13.6998678
46.4726387,13.699779
46.4725332,13.6998162
46.4722386,13.699623
46.4720825,13.699734
46.4719586,13.6997255
46.4713835,13.699472
46.4712293,13.699438
46.4710988,13.6994179
46.4709904,13.6986457
46.4706465,13.6983812
46.4701799,13.6975501
46.4701242,13.6975234
46.4698249,13.6971018
46.4697189,13.6969716
46.4691724,13.6961631
46.4691467,13.696115
46.4686983,13.695428
46.4683089,13.695301
46.4681589,13.6947832
46.4681295,13.6946235
46.4680862,13.6944762
46.4679358,13.6936778
46.4675908,13.6937169
46.4675568,13.6937349
46.4660623,13.6938869
46.4647029,13.6937389
46.4638441,13.695207
46.4634389,13.6953931
46.4626362,13.6964387
46.4604398,13.6967517
46.460308,13.696859
46.4603028,13.6973388
46.4597617,13.6975537
46.4593692,13.6981243
46.4580777,13.6978584
46.4579146,13.6983754
46.456709,13.6988134
46.454294,13.6972309
46.4536208,13.6972429
46.4532155,13.6964467
46.4529547,13.6964942
46.4524933,13.6958024
46.4520861,13.6958161
46.4512632,13.6950861
46.4498648,13.6946705
46.4495107,13.6942379
46.4474212,13.6937186
46.4470088,13.6940011
46.4463089,13.6941019
46.4461374,13.6943706
46.4455647,13.6939554
46.4446479,13.6939893
46.443842,13.6937093
46.4432236,13.6922796
46.4423711,13.6918744
46.4408826,13.6898827
46.4399844,13.6892561
46.4400623,13.6886639
46.4404371,13.6881982
46.4397721,13.6877569
46.4395293,13.6852574
46.439333,13.6850217
46.4379135,13.6847364
46.4374728,13.6840311
46.4374904,13.6838645
